업종명,인허가일자,업소명,도로명주소,영업장면적,영업자시작일,업태명
일반음식점,1988-04-19,장모족발,서울특별시 성동구 마조로 15-10 (행당동),73.53,2008-03-06,통닭(치킨)
일반음식점,1983-12-05,중국관,서울특별시 성동구 뚝섬로 404 (성수동2가),93.77,1986-09-03,중국식
일반음식점,1988-01-27,황소곱창,서울특별시 성동구 마조로5길 3 (행당동),56.57,2001-01-10,한식
일반음식점,1988-10-28,이가갈비,서울특별시 성동구 마조로 25 (행당동),161,2005-01-13,한식
일반음식점,1989-06-16,재동골식당,서울특별시 성동구 자동차시장1길 34 (용답동),56.1,2002-04-19,한식
일반음식점,1989-09-21,초원식당,서울특별시 성동구 성덕정길 118 (성수동2가),21.45,2006-09-15,한식
일반음식점,1989-03-16,산수골추어탕감자탕,서울특별시 성동구 왕십리로31가길 31 (하왕십리동),118,2009-12-18,한식
일반음식점,1989-07-19,맛남의광장(본점),서울특별시 성동구 마조로5길 5 (행당동),79.56,2010-03-25,한식
일반음식점,1989-07-05,웰빙삼겹살,서울특별시 성동구 성수일로12길 26 (성수동2가),72.59,2007-02-16,한식
일반음식점,1989-03-16,참존숯불바베큐,서울특별시 성동구 왕십리로24길 35-1 (홍익동),38.17,2007-07-10,호프/통닭
일반음식점,1990-05-28,놀부치킨,서울특별시 성동구 용답중앙13길 16 (용답동),31,1994-09-12,통닭(치킨)
일반음식점,1990-10-22,페리카나치킨,서울특별시 성동구 무수막길 89-2 (금호동2가),27,2000-03-17,통닭(치킨)
일반음식점,1990-02-27,바다잔치,서울특별시 성동구 무학로2길 48 (도선동),22.32,2007-07-11,일식
일반음식점,1990-02-09,참존숯불바베큐,서울특별시 성동구 성덕정길 141 (성수동2가),33.54,2003-04-09,호프/통닭
일반음식점,1990-11-26,코끼리식당,,26.16,2009-03-05,분식
일반음식점,1990-08-08,전주식당,"서울특별시 성동구 성덕정17길 8-1, 1층 (성수동2가, 331-233)",29.58,2012-05-09,한식
일반음식점,1990-09-14,어가세꼬시,서울특별시 성동구 독서당로 285-1 (금호동4가),36.65,2008-08-12,일식
일반음식점,1990-06-04,또치(참숯생고기),"서울특별시 성동구 성덕정길 99 (성수동2가,(지상2층))",96.05,2002-02-28,경양식
일반음식점,1990-11-19,우리집,서울특별시 성동구 행당로17길 5 (행당동),21.1,2005-08-23,한식
일반음식점,1990-06-28,태능숯불갈비,서울특별시 성동구 금호로 66 (금호동1가),89.1,2007-09-19,한식
일반음식점,1990-12-29,여주식당,서울특별시 성동구 마장로26길 6 (홍익동),39.74,1990-12-29,한식
일반음식점,1991-12-18,비비큐(B.B.Q)치킨,서울특별시 성동구 상원10나길 23 (성수동1가),20.79,2006-06-07,통닭(치킨)
일반음식점,1991-03-25,꼬랑치킨,서울특별시 성동구 행당로17길 11 (행당동),26.11,1999-07-20,호프/통닭
일반음식점,1991-01-16,처갓집양념치킨 응봉점,서울특별시 성동구 독서당로60길 5 (응봉동),26.04,2005-04-25,통닭(치킨)
